game,note_user
Blazing Angels Squadrons of WWII,5.0
Bleed,3.8
Blender 2.76b,2.9444444444444446
Blitzkrieg 2 Anthology,3.0
Blitzkrieg Anthology,4.0
Blob From Space,5.0
Blob From Space - Please Don't Stop The Music,5.0
Block N Load,2.4347826086956523
Block Story,5.0
Blockland,3.7142857142857144
Blocks That Matter,2.466666666666667
Blockscape,5.0
Blockstorm,3.2857142857142856
Blood & Gold Caribbean!,5.0
Blood Bowl 2,1.8333333333333333
Blood Bowl 2 - Lizardmen,5.0
Blood Bowl 2 - Wood Elves,5.0
Blood Bowl Chaos Edition,2.3846153846153846
Blood Bowl Dark Elves Edition,5.0
Blood Bowl Legendary Edition,3.0
Blood Knights,3.5
Blood Omen 2 Legacy of Kain,3.5
Blood One Unit Whole Blood,3.0
Blood of Old,4.25
Blood of the Werewolf,5.0
BloodLust Shadowhunter,5.0
BloodRayne,5.0
BloodRayne 2,3.5
BloodRayne Betrayal,3.5
BloodRealm Battlegrounds,3.0
Bloodbath Kavkaz,5.0
Bloodline Champions,2.5416666666666665
Bloodsports.TV,5.0
Bloodsports.TV - Blood Brawl,5.0
Bloodwood Reload,5.0
Bloody Good Time,3.0
Bloody Trapland,3.076923076923077
Bloons TD5,2.625
Bloop,5.0
Blue Estate Digital Comic,5.0
Blue Rose,5.0
Blue Toad Murder Files - The Mysteries of Little Riddle,5.0
Blur,2.857142857142857
Bob Came in Pieces,4.25
Bob Was Hungry,3.5
Boid,5.0
Bone Out from Boneville,5.0
Bone The Great Cow Race,5.0
Boo Bunny Plague,5.0
BookWorm Adventures Volume 2,3.5
BookWorm Deluxe,5.0
Bookworm Adventures Deluxe,3.5
Booster Trooper,4.0
Borderlands,2.863013698630137
Borderlands 2,2.7512953367875648
Borderlands 2 Headhunter 1 Bloody Harvest,5.0
Borderlands 2 Headhunter 2 Wattle Gobbler,5.0
Borderlands 2 Headhunter 3 Mercenary Day,5.0
Borderlands 2 Headhunter 4 Wedding Day Massacre,5.0
Borderlands 2 Headhunter 5 Son of Crawmerax,5.0
Borderlands 2 RU,2.85
Borderlands DLC Claptraps New Robot Revolution,5.0
Borderlands DLC Mad Moxxi's Underdome Riot,5.0
Borderlands DLC The Secret Armory of General Knoxx,5.0
Borderlands DLC The Zombie Island of Dr. Ned,5.0
Borderlands The Pre-Sequel,3.25
Borderless Gaming,5.0
Borealis,2.75
Boring Man - Online Tactical Stickman Combat,2.5238095238095237
Boson X,1.8333333333333333
Botanicula,3.6875
Bound By Flame,1.8571428571428572
Braid,3.2
Brawl Busters,5.0
Brawlhalla,2.753846153846154
Breach,3.0
Breach & Clear,3.5
Breach & Clear Deadline,5.0
Break Into Zatwor,4.0
Break the Cube,5.0
Breath of Death VII ,3.0
Breezeblox,5.0
Brick-Force,2.658536585365854
Brick-Force (US),5.0
Bridge Constructor,1.8333333333333333
Bridge Constructor Medieval,5.0
Bridge Constructor Playground,5.0
Bridge It (plus),3.5
Bridge Project,3.142857142857143
Brilliant Bob,3.5
Brink of Consciousness Dorian Gray Syndrome,5.0
Brink of Consciousness The Lonely Hearts Murders,5.0
Broforce,2.5384615384615383
Broken Age,3.4375
Broken Sword 1 - Shadow of the Templars Director's Cut,3.8
Broken Sword 2 - the Smoking Mirror Remastered,5.0
Broken Sword 3 - the Sleeping Dragon,5.0
Broken Sword 4 - the Angel of Death,5.0
Broken Sword 5 - the Serpent's Curse,3.5
Brothers - A Tale of Two Sons,3.8
Brothers in Arms Earned in Blood,5.0
Brothers in Arms Hell's Highway,3.5
Brothers in Arms Road to Hill 30,3.5
Brtal Legend,3.1944444444444446
Buccaneer The Pursuit of Infamy,5.0
Build-A-Lot,5.0
Build-A-Lot 2,5.0
Build-A-Lot 3,5.0
Build-A-Lot 4,5.0
Bullet Candy,5.0
Bullet Heaven 2,5.0
Bullet Heaven 2 - Soundtrack,5.0
Bullet Run,5.0
Bulletstorm,2.1739130434782608
Bully Scholarship Edition,2.9565217391304346
Bumbledore,5.0
Bunch Of Heroes,3.5
Burgers,5.0
Burn Zombie Burn,4.0
Burnout Paradise The Ultimate Box,2.963855421686747
Burstfire,3.5
Bus Driver,3.5
Bus-Simulator 2012,5.0
Butsbal,5.0
Buzz Aldrin's Space Program Manager,5.0
C-RUSH,5.0
C9,2.3333333333333335
CAFE 0 ~The Drowned Mermaid~,5.0
CAFE 0 ~The Drowned Mermaid~ - Japanese Voice Add-On,5.0
CID The Dummy,5.0
COH2 - The Western Front Armies Oberkommando West,5.0
COH2 - The Western Front Armies US Forces,5.0
CONSORTIUM,5.0
CRYENGINE,5.0
CRYPTARK,5.0
CSGO Player Profiles,5.0
CSGO Player Profiles - Device,5.0
CSGO Player Profiles - Edward,5.0
CSGO Player Profiles - Fallen,5.0
CSGO Player Profiles - Get_Right,5.0
CSGO Player Profiles - KennyS,5.0
CSGO Player Profiles - Markeloff,5.0
CSGO Player Profiles - N0thing,5.0
CSGO Player Profiles - Olofmeister,5.0
CSGO Player Profiles - Taz,5.0
CT Special Forces Fire for Effect,5.0
Cabela's African Adventures,5.0
Cabela's Big Game Hunter Pro Hunts,4.0
Cabela's Dangerous Hunts 2013,5.0
Cabela's Hunting Expeditions,5.0
Cabelas Trophy Bucks,5.0
CaesarIA,4.0
Cakewalk Loop Manager,5.0
Cakewalk Sound Center,5.0
Calibre 10 Racing Series,5.0
Call of Cthulhu Dark Corners of the Earth,3.5
Call of Duty,4.0
Call of Duty 2,2.625
Call of Duty 4 Modern Warfare,2.8666666666666667
Call of Duty Advanced Warfare,2.9423076923076925
Call of Duty Advanced Warfare - Multiplayer,2.360655737704918
Call of Duty Black Ops,2.9118942731277535
Call of Duty Black Ops - Multiplayer,2.611111111111111
Call of Duty Black Ops - Multiplayer OSX,3.5
Call of Duty Black Ops - OSX,4.0
Call of Duty Black Ops II,2.743362831858407
Call of Duty Black Ops II - Multiplayer,2.6357615894039736
Call of Duty Black Ops II - Zombies,2.4956521739130433
Call of Duty Black Ops III,2.58974358974359
Call of Duty Ghosts,3.3714285714285714
Call of Duty Ghosts - Multiplayer,2.6142857142857143
Call of Duty Modern Warfare 2,2.8013468013468015
Call of Duty Modern Warfare 2 - Multiplayer,2.7869415807560136
Call of Duty Modern Warfare 2 - Resurgence Pack,5.0
Call of Duty Modern Warfare 2 Stimulus Package,5.0
Call of Duty Modern Warfare 3,2.796208530805687
Call of Duty Modern Warfare 3 - Multiplayer,2.7448979591836733
Call of Duty United Offensive,1.75
Call of Duty World at War,3.0588235294117645
Call of Juarez,3.5
Call of Juarez Bound in Blood,3.5
Call of Juarez Gunslinger,3.4893617021276597
Call of Juarez The Cartel,3.0625
Call of Tomsk-7,5.0
Call to Arms,4.0
Call to Arms - Deluxe Edition,5.0
Camera Obscura,3.5
Camera Obscura Soundtrack,5.0
CameraBag 2,5.0
Cannon Brawl,4.0
Cannon Fodder 3,5.0
Cannons Lasers Rockets,3.0
Canyon Capers,2.6666666666666665
Capsized,2.8
Captain Forever Remix,5.0
Captain Morgane and the Golden Turtle,5.0
Car Mechanic Simulator 2014,3.1904761904761907
Car Mechanic Simulator 2015,3.076923076923077
Car Mechanic Simulator 2015 - PickUp & SUV DLC,5.0
Car Mechanic Simulator 2015 - TraderPack,5.0
Car Mechanic Simulator 2015 - Visual Tuning,5.0
Car Mechanic Simulator 2015 - Youngtimer,5.0
Card City Nights,5.0
Card Hunter,2.8
Cards and Castles,3.5
Cargo Commander,4.0
Cargo! - The quest for gravity,5.0
Caribbean!,5.0
Carmageddon 2 Carpocalypse Now,5.0
Carmageddon Max Pack,5.0
Carmageddon Reincarnation,3.5
Carmageddon TDR 2000,5.0
Carnage Racing,5.0
Carpe Diem,4.0
Carpe Diem - Extra Package,5.0
Carrier Command Gaea Mission,3.5
Cart Life,5.0
Cast of the Seven Godsends,5.0
Cast of the Seven Godsends - Soundtrack,5.0
Castaway Paradise,5.0
Caster,3.15
Castle,5.0
Castle Crashers,2.8366013071895426
Castle Crashers - Blacksmith Pack,5.0
Castle Crashers - Pink Knight Pack,5.0
Castle In The Darkness,5.0
Castle Never Judge a Book by its Cover,5.0
Castle Story,2.2
Castle of Illusion,5.0
CastleMiner Z,2.357142857142857
CastleStorm,2.8461538461538463
CastleStorm - From Outcast to Savior,5.0
CastleStorm - The Warrior Queen,5.0
Castlevania Lords of Shadow  Mirror of Fate HD,5.0
Castlevania Lords of Shadow - Ultimate Edition,2.933333333333333
Castlevania Lords of Shadow 2,2.7142857142857144
Castlevania Lords of Shadow 2 - Armored Dracula Costume,5.0
Castlevania Lords of Shadow 2 - Dark Dracula Costume,5.0
Castlevania Lords of Shadow 2 - Relic Rune Pack,5.0
Castlevania Lords of Shadow 2 - Revelations DLC,5.0
Cat Goes Fishing,5.0
Catmouth Island,5.0
Cave Story+,3.0
Chains,3.5
Chainsaw Warrior,5.0
Chainsaw Warrior Lords of the Night,5.0
Champions Online,2.142857142857143
Championship Manager 2008,5.0
Championship Manager 2010,5.0
Chantelise,4.0
Chaos Domain,4.0
Chaos Heroes Online,4.0
Chaos on Deponia,4.1
